a,artigo,a
a,preposição,a
á-bê-cê,"nome masculino",ˌa.bˌe.sˈe
a-pro·pó·si·to,"nome masculino",a.pɾo.pˈɔ.zi.tʊ
à-von·ta·de,"nome masculino",ˌa.võ.tˈa.dʒi
a·a,"nome feminino",a.ˈa
a·al,"nome masculino",a.ˈaw
ab-re·a·ti·vo,adjetivo,ab.xi.a.tʃˈi.vʊ
ab-ro·ga·do,adjetivo,ab.xo.gˈa.dʊ
ab-ro·ga·dor,adjetivo,ab.xo.ga.dˈoɾ
ab-ro·ga·dor,"nome masculino",ab.xo.ga.dˈoɾ
ab-ro·gar,verbo,ab.xo.gˈaɾ
"ab-ro·ga·tó·ri· o",adjetivo,ab.xo.ga.tˈɔ.ɾjʊ
a·ba,"nome masculino",ˈa.bə
a·ba,"nome feminino",ˈa.bə
a·ba·can·to,"nome masculino",a.ba.kˈə̃.tʊ
a·ba·ca·te,adjetivo,a.ba.kˈa.tʃi
a·ba·ca·te,"nome masculino",a.ba.kˈa.tʃi
a·ba·ca·te,"nome feminino",a.ba.kˈa.tʃi
a·ba·ca·xi,adjetivo,a.ba.ka.ʃˈi
a·ba·ca·xi,"nome masculino",a.ba.ka.ʃˈi
a·ba·ci·al,adjetivo,a.ba.sjˈaw
á·ba·co,"nome masculino",ˈa.ba.kʊ
a·ba·da,"nome feminino",a.bˈa.də
"a·ba·dá·gi· o","nome masculino",a.ba.dˈa.ʒjʊ
a·ba·dar,verbo,a.ba.dˈa
a·ba·de,"nome masculino",a.bˈa.dʒi
a·ba·de·jo,"nome masculino",a.ba.dˈe.ʒʊ
a·ba·des·sa,"nome feminino",a.ba.dˈe.sə
a·ba·des·sar,verbo,a.ba.de.sˈa
a·ba·di·a,"nome feminino",a.ba.dʒˈi.jə
a·ba·di·a·do,"nome masculino",a.ba.dʒjˈa.dʊ
a·ba·di·ar,verbo,a.ba.dʒjˈa
a·ba·dir,"nome masculino",a.ba.dʒˈiɾ
a·ba·do,adjetivo,a.bˈa.dʊ
a·ba·fa·da·men·te,advérbio,a.ba.fa.da.mˈẽj.tʃi
a·ba·fa·do,adjetivo,a.ba.fˈa.dʊ
a·ba·fa·do,"nome masculino",a.ba.fˈa.dʊ
a·ba·fa·dor,"nome masculino",a.ba.fa.dˈoɾ
a·ba·fa·dor,adjetivo,a.ba.fa.dˈoɾ
a·ba·fa·men·to,"nome masculino",a.ba.fa.mˈẽj.tʊ
a·ba·fan·te,adjetivo,a.ba.fˈə̃.tʃi
a·ba·far,"nome masculino",a.ba.fˈaɾ
a·ba·far,verbo,a.ba.fˈa
a·ba·fá·vel,adjetivo,a.ba.fˈa.vew
a·ba·fo,"nome masculino",a.bˈa.fʊ
a·bai·xa,"nome feminino",a.bˈaj.ʃə
a·bai·xa·do,adjetivo,a.baj.ʃˈa.dʊ
a·bai·xa·men·to,"nome masculino",a.baj.ʃa.mˈẽj.tʊ
a·bai·xar,verbo,a.baj.ʃˈa
a·bai·xo,advérbio,a.bˈaj.ʃʊ
a·bai·xo-as·si·na·do,"nome masculino",a.bˌaj.ʃʊ.a.si.nˈa.dʊ
a·ba·jou·ja·do,adjetivo,a.ba.ʒo.ʒˈa.dʊ
a·ba·jou·jar,verbo,a.ba.ʒo.ʒˈaɾ
a·ba·jur,"nome masculino",a.ba.ʒˈuɾ
a·ba·la·da,"nome feminino",a.ba.lˈa.də
a·ba·la·do,adjetivo,a.ba.lˈa.dʊ
a·ba·lan·ça·do,adjetivo,a.ba.lə̃.sˈa.dʊ
a·ba·lan·çar,verbo,a.ba.lə̃.sˈa
a·ba·lar,verbo,a.ba.lˈa
a·bal·ça·do,adjetivo,a.baw.sˈa.dʊ
a·bal·çar,verbo,a.baw.sˈaɾ
a·ba·li·e·na·ção,"nome feminino",a.ba.li.e.na.sˈə̃w
a·ba·li·e·na·do,adjetivo,a.ba.li.e.nˈa.dʊ
a·ba·li·e·nar,verbo,a.ba.li.e.nˈaɾ
a·ba·li·e·ná·vel,adjetivo,a.ba.li.e.nˈa.vew
a·ba·lis·tar,verbo,a.ba.lis.tˈaɾ
a·ba·li·za·da·men·te,advérbio,a.ba.li.za.da.mˈẽj.tʃi
a·ba·li·za·do,adjetivo,a.ba.li.zˈa.dʊ
a·ba·li·zar,verbo,a.ba.li.zˈa
a·ba·lo,"nome masculino",a.bˈa.lʊ
a·ba·lo·ne,"nome masculino",a.ba.lˈɔ.ni
a·bal·ro·a,"nome feminino",a.baw.rˈo.ə
a·bal·ro·a·da,"nome feminino",a.baw.ro.ˈa.də
a·bal·ro·a·do,adjetivo,a.baw.ro.ˈa.dʊ
a·bal·ro·a·men·to,"nome masculino",a.baw.ro.a.mˈẽj.tʊ
a·bal·ro·ar,verbo,a.baw.ro.ˈa
a·ba·lu·ar·ta·do,adjetivo,a.ba.lwaɾ.tˈa.dʊ
a·ba·lu·ar·tar,verbo,a.ba.lwaɾ.tˈa
a·ba·ma,"nome feminino",a.bˈə.mə
a·ba·na·do,adjetivo,a.ba.nˈa.dʊ
a·ba·na·na·do,adjetivo,a.ba.na.nˈa.dʊ
a·ba·na·nar,verbo,a.ba.na.nˈa
a·ba·não,"nome masculino",a.ba.nˈə̃w
a·ba·nar,verbo,a.ba.nˈa
a·ban·ca·do,adjetivo,a.bə̃.kˈa.dʊ
a·ban·car,verbo,a.bə̃.kˈa
a·ban·da·lha·da·men·te,advérbio,a.bə̃.da.ʎa.da.mˈẽj.tʃi
a·ban·da·lha·do,adjetivo,a.bə̃.da.ʎˈa.dʊ
a·ban·da·lha·men·to,"nome masculino",a.bə̃.da.ʎa.mˈẽj.tʊ
a·ban·da·lhar,verbo,a.bə̃.da.ʎˈa
a·ban·dar,verbo,a.bə̃.dˈa
a·ban·do·na·da,"nome feminino",a.bə̃.do.nˈa.də
a·ban·do·na·da·men·te,advérbio,a.bə̃.do.na.da.mˈẽj.tʃi
a·ban·do·na·do,adjetivo,a.bə̃.do.nˈa.dʊ
a·ban·do·na·do,"nome masculino",a.bə̃.do.nˈa.dʊ
a·ban·do·nar,verbo,a.bə̃.do.nˈa
a·ban·do·no,"nome masculino",a.bə̃.dˈo.nʊ
a·ba·ni·car,verbo,a.ba.ni.kˈa
a·ba·ni·co,"nome masculino",a.ba.nˈi.kʊ
a·ba·no,"nome masculino",a.bˈə.nʊ
a·ban·te,adjetivo,a.bˈə̃.tʃi
a·ban·te,"nome masculino",a.bˈə̃.tʃi
a·ban·te,"nome feminino",a.bˈə̃.tʃi
a·bar,verbo,a.bˈa
a·bar·ca,"nome feminino",a.bˈaɾ.kə
a·bar·ca·do,adjetivo,a.baɾ.kˈa.dʊ
a·bar·can·te,adjetivo,a.baɾ.kˈə̃.tʃi
a·bar·can·te,"nome masculino","a.baɾ.kˈə̃.tʃi ou a.baɾ.kˈə̃.tʃi"
a·bar·car,verbo,a.baɾ.kˈa
a·bar·cá·vel,adjetivo,a.baɾ.kˈa.vew
a·bar·ga,"nome feminino",a.bˈaɾ.gə
a·bar·quei·ro,"nome masculino",a.baɾ.kˈej.ɾʊ
a·bar·ra·ca·do,adjetivo,a.ba.xa.kˈa.dʊ
a·bar·ra·ca·men·to,"nome masculino",a.ba.xa.ka.mˈẽj.tʊ
a·bar·ra·car,verbo,a.ba.xa.kˈa
a·bar·ran·ca·men·to,"nome masculino",a.ba.xə̃.ka.mˈẽj.tʊ
a·bar·ran·car,verbo,a.ba.xə̃.kˈaɾ
a·bar·ro·ta·do,adjetivo,a.ba.xo.tˈa.dʊ
a·bar·ro·tar,verbo,a.ba.xo.tˈa
a·bar·ti·cu·la·ção,"nome feminino",a.baɾ.tʃi.ku.la.sˈə̃w
a·bar·ti·cu·lar,adjetivo,a.baɾ.tʃi.ku.lˈaɾ
a·bar·tro·se,"nome feminino",a.baɾ.tɾˈɔ.zi
a·bas·ta·da·men·te,advérbio,a.bas.ta.da.mˈẽj.tʃi
a·bas·ta·do,adjetivo,a.bas.tˈa.dʊ
a·bas·tan·ça,"nome feminino",a.bas.tˈə̃.sə
a·bas·tar,verbo,a.bas.tˈa
a·bas·tar·da·da·men·te,advérbio,a.bas.taɾ.da.da.mˈẽj.tʃi
a·bas·tar·da·do,adjetivo,a.bas.taɾ.dˈa.dʊ
a·bas·tar·da·men·to,"nome masculino",a.bas.taɾ.da.mˈẽj.tʊ
a·bas·tar·dar,verbo,a.bas.taɾ.dˈa
a·bas·te·ce·dor,adjetivo,a.bas.te.se.dˈoɾ
a·bas·te·ce·dor,"nome masculino",a.bas.te.se.dˈoɾ
a·bas·te·ce·do·ra,"nome feminino",a.bas.te.se.dˈo.ɾə
a·bas·te·cer,verbo,a.bas.te.sˈe
a·bas·te·ci·do,adjetivo,a.bas.te.sˈi.dʊ
a·bas·te·ci·men·to,"nome masculino",a.bas.te.si.mˈẽj.tʊ
"a· bat-jour","nome masculino",
a·ba·ta·na·do,adjetivo,a.ba.ta.nˈa.dʊ
a·ba·ta·ta·do,adjetivo,a.ba.ta.tˈa.dʊ
a·ba·ta·tar,verbo,a.ba.ta.tˈa
a·ba·te,"nome masculino",a.bˈa.tʃi
a·ba·ter,verbo,a.ba.tˈe
a·ba·ti·da·men·te,advérbio,a.ba.tʃi.da.mˈẽj.tʃi
a·ba·ti·do,adjetivo,a.ba.tʃˈi.dʊ
a·ba·ti·men·to,"nome masculino",a.ba.tʃi.mˈẽj.tʊ
a·ba·ti·na·do,adjetivo,a.ba.tʃi.nˈa.dʊ
a·ba·ti·nar,verbo,a.ba.tʃi.nˈaɾ
a·bau·la·da·men·te,advérbio,a.baw.la.da.mˈẽj.tʃi
a·ba·u·la·do,adjetivo,a.baw.lˈa.dʊ
a·ba·u·la·men·to,"nome masculino",a.ba.u.la.mˈẽj.tʊ
a·ba·u·lar,verbo,a.ba.u.lˈa
a·bau·ni·lha·do,adjetivo,a.baw.ni.ʎˈa.dʊ
a·bau·ni·lhar,verbo,a.baw.ni.ʎˈa
a·ba·xi·al,adjetivo,a.ba.ki.sjˈaw
abc,"nome masculino",ˌa.bˌe.sˈe
"ab·ce·dên·ci· a","nome feminino",ab.se.dˈẽj.sjə
ab·ce·den·te,adjetivo,ab.se.dˈẽj.tʃi
ab·ce·der,verbo,ab.se.dˈeɾ
ab·ces·são,"nome feminino",ab.se.sˈə̃w
ab·ces·so,"nome masculino",a.bi.sˈɛ.sʊ
ab·ci·são,"nome feminino",ab.si.zˈə̃w
ab·di·ca·ção,"nome feminino",a.bi.dʒi.ka.sˈə̃w
ab·di·ca·do,adjetivo,a.bi.dʒi.kˈa.dʊ
ab·di·car,verbo,a.bi.dʒi.kˈa
