xá,"nome masculino",ʃˈa
xa·bre·ga,"nome feminino",ʃa.bɾˈɛ.gə
xa·bre·gas,adjetivo,ʃa.bɾˈɛ.gəs
xá·ca·ra,"nome feminino",ʃˈa.ka.ɾə
xa·drez,"nome masculino",ʃa.dɾˈes
xa·dre·zis·ta,"nome masculino","ʃa.dɾe.zˈis.tə ou ʃa.dɾe.zˈis.tə"
xai·le,"nome masculino",ʃˈaj.li
xa·le,"nome masculino",ʃˈa.li
xa·mã,"nome masculino",ʃa.mˈə̃
xa·ma·ne,"nome masculino",ʃa.mˈə.ni
xa·ma·nis·mo,"nome masculino",ʃa.ma.nˈiz.mʊ
xa·ma·nís·ti·co,adjetivo,ʃa.ma.nˈis.tʃi.kʊ
xan·gai·en·se,adjetivo,ʃə̃.gaj.ˈẽj.si
xan·gai·en·se,"nome masculino","ʃə̃.gaj.ˈẽj.si ou ʃə̃.gaj.ˈẽj.si"
xan·ti·na,"nome feminino",ʃə̃.tʃˈi.nə
xa·ra,"nome feminino",ʃˈa.ɾə
xa·rém,"nome masculino",ʃa.ɾˈeɲ
xa·ro·pa·da,"nome feminino",ʃa.ɾo.pˈa.də
xa·ro·par,verbo,ʃa.ɾo.pˈa
xa·ro·pe,"nome masculino",ʃa.ɾˈɔ.pi
xa·ro·po·so,adjetivo,ʃa.ɾo.pˈo.zʊ
xá·ve·ga,"nome feminino",ʃˈa.ve.gə
xe·lim,"nome masculino",ʃe.lˈiɲ
xe·nar,verbo,ʃe.nˈa
xe·no·fi·li·a,"nome feminino",ʃe.no.fi.lˈi.jə
xe·nó·fo·ba,"nome feminino",ʃe.nˈɔ.fo.bə
xe·no·fo·bi·a,"nome feminino",ʃe.no.fo.bˈi.jə
xe·no·fo·bis·mo,"nome masculino",ʃe.no.fo.bˈiz.mʊ
xe·nó·fo·bo,"nome masculino",ʃe.nˈɔ.fo.bʊ
xe·nó·fo·bo,adjetivo,ʃe.nˈɔ.fo.bʊ
xé·non,"nome masculino",ʃˈɛ.nõ
xe·no·trans·plan·te,"nome masculino",ʃe.no.tɾə̃s.plˈə̃.tʃi
xe·pa,"nome feminino",ʃˈe.pə
xe·que,"nome masculino",ʃˈɛ.ki
xe·que-ma·te,"nome masculino",ʃˌɛ.ki.mˈa.tʃi
xe·ra·fim,"nome masculino",ʃe.ɾa.fˈiɲ
xe·rez,"nome masculino",ʃe.ɾˈes
xe·ri·fe,"nome masculino",ʃe.ɾˈi.fi
xe·ro·der·mi·a,"nome feminino",ʃe.ɾo.deɾ.mˈi.jə
xe·rox,"nome masculino",ʃe.ɾˈɔks
xe·rox,"nome masculino",ʃe.ɾˈɔks
xe·rox,adjetivo,ʃe.ɾˈɔks
xí·ca·ra,"nome feminino",ʃˈi.ka.ɾə
xi·cu·em·bo,"nome masculino",ʃi.kwˈẽj.bʊ
xi·gu·bo,"nome masculino",ʃi.gˈu.bʊ
xi·is·mo,"nome masculino",ʃi.ˈiz.mʊ
xi·i·ta,"nome feminino",ʃi.ˈi.tə
xi·i·ta,adjetivo,ʃi.ˈi.tə
xi·i·ta,"nome masculino",ʃi.ˈi.tə
xi·la,"nome feminino",ʃˈi.lə
xi·le·no,"nome masculino",ʃi.lˈe.nʊ
xi·ló·fa·go,"nome masculino",ʃi.lˈɔ.fa.gʊ
xi·ló·fa·go,adjetivo,ʃi.lˈɔ.fa.gʊ
xi·lo·fo·ne,"nome masculino",ʃi.lo.fˈɔ.ni
xi·lo·gra·va·dor,"nome masculino",ʃi.lo.gɾa.va.dˈoɾ
xi·lo·gra·va·dor,adjetivo,ʃi.lo.gɾa.va.dˈoɾ
xi·lo·gra·vu·ra,"nome feminino",ʃi.lo.gɾa.vˈu.ɾə
xi·lu·va,"nome feminino",ʃi.lˈu.və
xin·ga,"nome feminino",ʃˈĩ.gə
xin·gar,verbo,ʃĩɲ.gˈa
xin·to·ís·mo,"nome masculino",ʃĩ.twˈiz.mʊ
xin·to·ís·ta,adjetivo,ʃĩ.twˈis.tə
xin·to·ís·ta,"nome masculino",ʃĩ.twˈis.tə
xin·to·ís·ta,"nome feminino",ʃĩ.twˈis.tə
xi·pa·la·pa·la,"nome feminino",ʃi.pa.la.pˈa.lə
xis,"nome masculino",ʃˈis
xis·tar·ca,"nome masculino",ʃis.tˈaɾ.kə
xis·to,"nome masculino",ʃˈis.tʊ
xis·to·so,adjetivo,ʃis.tˈo.zʊ
xiu,interjeição,ʃˈi.ʊ
xi·xi,"nome masculino",ʃi.ʃˈi
xô,interjeição,ʃˈo
xo·gum,"nome masculino",ʃɔ.gˈũ
xo·nar,verbo,ʃɔ.nˈa
xo·tar,verbo,ʃo.tˈa
xo·te,interjeição,ʃˈɔ.tʃi
xo·te,"nome masculino",ʃˈɔ.tʃi
yang,"nome masculino",
"yan· kee","nome feminino",ou
"yan· kee",adjetivo,
yen,"nome masculino",
yin,"nome masculino",
"yo· ga","nome masculino",
"yu· an","nome masculino",
"yup· pie","nome masculino",
za·bum·ba,"nome masculino",za.bˈũ.bə
za·bum·bar,verbo,za.bũ.bˈa
za·ga,"nome feminino",zˈa.gə
za·gai·a,"nome feminino",za.gˈaj.jə
za·gai·a·da,"nome feminino",za.gaj.ˈa.də
za·gai·ar,verbo,za.gaj.ˈa
za·gal,"nome masculino",za.gˈaw
za·ga·lo·te,"nome masculino",za.ga.lˈɔ.tʃi
za·guei·ro,"nome masculino",za.gˈej.ɾʊ
zai·da,"nome feminino",zˈaj.də
zai·na,"nome feminino",zˈaj.nə
zai·no,adjetivo,zˈaj.nʊ
zai·no,"nome masculino",zˈaj.nʊ
zai·ra,"nome feminino",zˈaj.ɾə
zai·re,"nome masculino",zˈaj.ɾi
zai·ren·se,"nome feminino",zaj.ɾˈẽj.si
zai·ren·se,"nome masculino",zaj.ɾˈẽj.si
zai·ren·se,adjetivo,zaj.ɾˈẽj.si
zai·ro·ta,"nome masculino","zaj.ɾˈɔ.tə ou zaj.ɾˈɔ.tə"
zam·ba,"nome feminino",zˈə̃.bə
zam·bi·a·na,"nome feminino",zə̃.bjˈə.nə
zam·bi·a·no,adjetivo,zə̃.bjˈə.nʊ
zam·bi·a·no,"nome masculino",zə̃.bjˈə.nʊ
zam·bo,adjetivo,zˈə̃.bʊ
zam·bra,"nome feminino",zˈə̃.bɾə
zam·bro,adjetivo,zˈə̃.bɾʊ
zam·bu·jal,"nome masculino",zə̃.bu.ʒˈaw
zam·bu·jei·ro,"nome masculino",zə̃.bu.ʒˈej.ɾʊ
zam·bu·jo,"nome masculino",zə̃.bˈu.ʒʊ
zam·par,verbo,zə̃.pˈa
zan·ga,"nome feminino",zˈə̃.gə
zan·ga·do,adjetivo,zə̃.gˈa.dʊ
